"Santa","Recipients","price","Purchased"
"Chris","Carla",364.97,2019-04-04
"Carla","Ray",32.76,2019-12-02
"Jim","Cameron",59.73,2019-12-01
"Pam","Louis",17.27,2019-12-02
"Leslie","Pam",63.38,2019-12-01
"Ben","Mitch",20.29,2019-12-03
"Mitch","Dwight",13.14,2019-12-02
"Cameron","Jessica",46.79,2019-12-02
"Louis","Ben",24.43,2019-12-04
"Jessica","Andy",61.95,2019-12-03
"Dwight","Jeremy",69.11,2019-12-04
"Jeremy","Chris",9.91,2019-12-03
"Ray","Leslie",93.75,2019-12-02
"Andy","Jim",74.61,2019-12-02
